"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Deterministic Evaluator","3","0","","0"
"0","","0","Golden Dataset Evaluation","1","0","","0"
"0","AI Quality","1","Support Agent Evals","0","0","Agent Quality Gate","0"
